PCI,Road Type,AADT,Asphalt Type,Last Maintenance,Average Rainfall,Rutting,IRI
68.09,Secondary,508,Concrete,2021,44.18,14.77,0.97
0,Secondary,18968,Concrete,2011,81.66,18.8,1.08
45.07,Tertiary,2550,Asphalt,2005,89.47,20.52,1.13
68.91,Tertiary,2398,Asphalt,2024,59.32,15.84,0.63
15,Tertiary,3006,Asphalt,2019,72.1,20.23,1.09
84.32,Primary,38976,Concrete,2020,56.22,14.67,0.8
88.59,Tertiary,1340,Concrete,2021,46.33,12.69,0.36
25.84,Tertiary,3577,Asphalt,2011,65.51,19.84,1
83.33,Primary,22443,Concrete,2018,62.49,13.8,0.93
70.48,Tertiary,1065,Concrete,2020,52.36,14.77,0.72
20.04,Secondary,16221,Asphalt,2020,77.13,19.07,1.06
13.17,Primary,13873,Asphalt,2010,91.39,19.48,0.89
75.63,Tertiary,4210,Concrete,2018,43.56,13.8,0.68
27.48,Tertiary,6068,Asphalt,2021,92.01,18.55,1.19
26.87,Secondary,15679,Asphalt,2019,65.94,19.01,1.22
22.14,Tertiary,2356,Asphalt,2018,74.13,18.47,0.96
30.12,Tertiary,2377,Asphalt,2010,68.91,19.01,1.25
79.2,Primary,27434,Asphalt,2024,52.78,14.35,0.77
30.75,Tertiary,5663,Asphalt,2020,78.12,20.69,1.15
56.37,Secondary,15084,Asphalt,2020,81.12,19.91,0.9
89.8,Tertiary,2274,Concrete,2022,50.77,16.59,0.81
67.55,Tertiary,2914,Concrete,2021,67.32,15.63,0.46
74.71,Primary,4065,Asphalt,2019,87.04,19.64,1.01
95.63,Primary,39238,Concrete,2020,49.34,16.45,1.13
67.3,Secondary,8673,Concrete,2018,57.1,13.07,0.38
34.72,Tertiary,2206,Concrete,2009,84.93,21.5,1.04
59.56,Tertiary,3416,Concrete,2016,61.04,12.63,0.92
0,Tertiary,3459,Asphalt,2013,76.01,18.09,1.05
93.89,Primary,24524,Concrete,2019,63.54,17.5,0.84
85.14,Secondary,7889,Concrete,2021,49.12,13.07,0.37
26.53,Secondary,15167,Asphalt,2020,79.12,20.13,1.28
35.41,Secondary,16353,Asphalt,2019,66.77,16.92,0.74
46.99,Secondary,1960,Concrete,2017,48.23,13.1,0.85
85.05,Secondary,14409,Concrete,2020,66.55,15.66,0.71
22.75,Tertiary,2222,Asphalt,2020,75.85,19.09,0.65
22.79,Tertiary,3831,Asphalt,2020,80.5,19.67,1.12
72.03,Secondary,25002,Asphalt,2025,46.75,13.56,0.88
4.44,Tertiary,2367,Concrete,2004,88.42,19.92,0.83
99.21,Secondary,2326,Concrete,2020,37.45,15.58,1.22
86.09,Secondary,12294,Concrete,2021,44.25,13.5,0.71
42.92,Tertiary,2441,Asphalt,2021,69.45,18.73,0.84
61.24,Tertiary,-269,Concrete,2022,57.4,13.06,0.43
37.39,Secondary,2452,Asphalt,2017,81.64,19.41,1.16
36.38,Tertiary,3133,Concrete,2008,84.65,18.53,0.91
25.77,Tertiary,5624,Asphalt,2020,87.81,18.23,0.81
31.96,Secondary,18376,Asphalt,2020,88.21,19.39,0.74
35.54,Secondary,22758,Asphalt,2016,77.71,19.83,0.94
31.43,Tertiary,2815,Asphalt,2019,74.43,17.55,1.02
10.29,Tertiary,4980,Asphalt,2019,51.86,17.9,0.66
1.54,Secondary,24419,Asphalt,2015,77.29,19.07,0.66
78.39,Primary,60286,Concrete,2022,41.97,14.98,0.95
76.61,Primary,15253,Concrete,2020,66.29,14.59,0.97
14.48,Primary,27624,Asphalt,2019,71.22,17.81,0.56
24.62,Secondary,20662,Asphalt,2020,84.42,18.81,1.09
84.25,Secondary,8758,Concrete,2022,47.66,12.81,0.98
19.31,Tertiary,6909,Asphalt,2011,75.71,17.95,0.86
15.01,Tertiary,1001,Asphalt,2018,61.93,21.22,1.32
15.83,Tertiary,3092,Asphalt,2020,63.84,18.97,0.39
78.29,Tertiary,3073,Concrete,2022,70.59,14.7,0.77
89.59,Secondary,8757,Concrete,2020,44.96,13.05,0.9
11.86,Tertiary,4339,Asphalt,2018,77.17,18.76,1.06
42.92,Secondary,13265,Concrete,2009,79.98,20.9,0.77
77.38,Secondary,6518,Concrete,2018,53.64,13.55,0.41
100,Primary,27856,Concrete,2020,52.03,12.18,0.86
62.82,Tertiary,1698,Concrete,2020,66.15,14.57,0.48
72.89,Tertiary,3323,Asphalt,2020,88.12,21.97,1.07
72.3,Secondary,14827,Concrete,2016,52.44,14.54,0.81
19.79,Secondary,18127,Asphalt,2018,83.2,19.16,1.02
51.53,Tertiary,-112,Concrete,2020,54.34,15.54,1
70.01,Secondary,7031,Concrete,2020,75.84,17.77,1.09
24.35,Secondary,11387,Asphalt,1996,81.19,18.98,1.09
32.23,Tertiary,2259,Asphalt,2020,63.11,18.18,0.76
8.18,Primary,54397,Asphalt,2020,82.31,20.07,1.16
68.74,Tertiary,2303,Concrete,2025,62.44,15.27,0.74
46.1,Tertiary,1671,Asphalt,2019,79.92,19.51,1.01
31.36,Secondary,22484,Asphalt,2018,69.58,18.23,0.82
39.44,Tertiary,5274,Asphalt,2018,84.23,17.91,0.93
42.56,Tertiary,2613,Asphalt,2018,115.6,20.21,0.49
67.86,Secondary,22117,Concrete,2019,63.32,14.93,0.7
83.28,Secondary,-3075,Concrete,2022,52.33,15.44,0.89
49.29,Tertiary,1767,Concrete,2017,42.3,15.45,1.17
88.35,Secondary,22496,Asphalt,2025,59.86,16.65,0.87
83.15,Tertiary,1689,Concrete,2022,51.33,11.89,0.77
100,Primary,15595,Concrete,2020,36.41,13.39,0.75
74.54,Tertiary,2868,Asphalt,2024,52.48,15.55,0.41
4.43,Tertiary,4192,Asphalt,2021,74.24,19.57,1.01
14.65,Secondary,12577,Asphalt,2019,67.37,18.96,1
26.63,Tertiary,3176,Asphalt,2019,93.3,18.18,1.02
33.15,Tertiary,1327,Asphalt,2014,73.35,16.94,0.9
3.99,Secondary,7727,Asphalt,2020,67.84,20.01,0.88
100,Tertiary,2030,Concrete,2020,48.67,12.44,0.68
45.29,Secondary,11624,Asphalt,2018,88.09,19.64,1.16
100,Primary,35282,Asphalt,2024,35.95,14.09,1.04
39.78,Primary,59054,Asphalt,2019,80.92,18.68,1.28
48.24,Secondary,10587,Asphalt,2016,85.04,18.78,0.93
78.15,Secondary,7965,Concrete,2021,53.94,14.64,0.5
100,Secondary,12679,Concrete,2022,38.97,13.17,0.55
50.37,Primary,22698,Concrete,2023,60.02,15.69,1.23
42.68,Secondary,2880,Asphalt,2019,77.41,19.89,0.88
98.61,Tertiary,1486,Concrete,2021,41.11,13.38,0.82
17.06,Tertiary,1465,Asphalt,2020,72.48,18.63,0.98
81.95,Secondary,-4549,Concrete,2020,35.22,15.63,0.81
33.23,Tertiary,2610,Asphalt,2020,88.9,17.98,0.89
87.03,Secondary,10081,Concrete,2022,46.14,13.93,0.76
51.85,Secondary,13052,Concrete,2017,47.62,12.6,0.66
73.53,Tertiary,1910,Concrete,2017,51.78,14.15,0.89
55.44,Secondary,2151,Concrete,2018,45.15,14.6,0.77
56.04,Tertiary,2141,Asphalt,2018,70.91,17.97,0.73
96.11,Primary,48555,Concrete,2022,52.65,15.51,0.86
46.51,Secondary,8806,Asphalt,2019,77.53,21.23,0.78
98.95,Secondary,12109,Asphalt,2023,56.9,14.81,0.76
23.79,Tertiary,2166,Asphalt,2019,67.67,17.06,0.78
84.47,Primary,33805,Asphalt,2025,68.84,13.09,0.35
35.66,Tertiary,997,Asphalt,2020,85.07,19.22,0.93
43.06,Secondary,23337,Asphalt,2016,98.43,19.18,0.82
22.73,Primary,40221,Asphalt,2018,64.79,19.22,0.92
73.8,Secondary,8884,Concrete,2020,30.3,12.06,0.45
19.89,Tertiary,2995,Asphalt,2013,95.44,19.39,0.84
16.09,Secondary,11638,Asphalt,2018,83.67,19.34,0.98
0,Tertiary,1826,Concrete,2012,78.42,19.91,0.62
47.94,Primary,35633,Asphalt,2018,63.61,18.07,1.32
14.31,Secondary,9928,Concrete,2014,68.68,18.69,1.01
0,Primary,6391,Asphalt,2019,82.95,20.17,1.11
47.78,Secondary,7771,Asphalt,2018,79.97,17.7,0.91
68.16,Secondary,12211,Concrete,2019,49.62,13.63,0.35
56.37,Tertiary,242,Concrete,2015,51.13,14.58,0.65
29.14,Tertiary,4107,Asphalt,2020,78.88,19.97,1.11
37.28,Secondary,15529,Asphalt,2014,61.07,19.77,1.05
22.21,Primary,7549,Asphalt,2020,82.15,19.45,1.09
56.1,Secondary,7697,Concrete,2018,43.62,16.55,1.02
65.91,Secondary,27806,Asphalt,2011,77.97,20.3,1.05
45.8,Primary,50312,Concrete,2006,79.91,18.13,0.55
77.09,Secondary,9175,Asphalt,2025,39.21,13.56,1.02
85.05,Secondary,8749,Concrete,2015,26.44,13.72,0.88
14.64,Tertiary,4144,Asphalt,2020,85.81,20.35,1.23
22.54,Secondary,12079,Asphalt,2019,74.23,19.41,0.76
15.96,Secondary,6219,Concrete,2008,75.99,16.56,0.95
1.1,Primary,51847,Asphalt,2020,87.18,20.23,1.13
59.87,Tertiary,5819,Asphalt,2020,68.17,19.3,1.25
27.89,Tertiary,1385,Asphalt,2016,83.9,19.62,0.81
34.47,Secondary,7571,Concrete,2008,91.28,19.62,1.06
89.33,Primary,27591,Concrete,2023,65.18,14.67,0.78
83.49,Tertiary,2319,Concrete,2016,40.78,14.69,0.56
26.82,Tertiary,1396,Asphalt,2018,72.1,19.17,1.1
40.29,Primary,55780,Asphalt,2018,74.46,19.19,1.33
38,Tertiary,5110,Concrete,2010,72.61,18.15,0.92
79.54,Primary,9554,Concrete,2016,47.06,14.09,0.52
32.14,Tertiary,882,Concrete,2013,94.64,19.2,0.79
39.49,Tertiary,4698,Concrete,2011,76.64,19.44,0.96
0,Secondary,18494,Asphalt,2015,84.67,19.84,0.92
27.1,Tertiary,3396,Asphalt,2021,71.81,20.06,0.96
83.36,Secondary,3525,Concrete,2022,53.17,13.29,0.68
81.97,Primary,29409,Asphalt,2024,52.64,15.54,1.02
88.04,Primary,29289,Asphalt,2023,53.6,14.16,0.62
23.63,Primary,29238,Asphalt,2019,94.01,17.33,0.79
86.13,Tertiary,453,Concrete,2023,39.8,13.55,1.03
73.34,Secondary,12963,Concrete,2020,44.93,15.58,0.58
23.78,Tertiary,2102,Asphalt,2020,86.06,20.3,0.8
28.86,Secondary,8324,Concrete,1994,65.15,19.37,0.82
28.82,Tertiary,2518,Asphalt,2019,70.52,17.58,1.08
69.22,Primary,18717,Concrete,2019,64.59,14.02,0.8
16.4,Tertiary,3871,Asphalt,2017,82.38,18.11,1.13
77.73,Tertiary,512,Concrete,2021,70.26,14.36,0.68
64.52,Secondary,3317,Concrete,2021,46.82,14.08,0.68
49.86,Tertiary,1404,Concrete,2022,57.45,14.96,0.74
76.26,Tertiary,1657,Concrete,2020,44.22,14.61,0.78
23.1,Primary,21984,Asphalt,2019,92.81,18.91,1.22
92.19,Primary,31848,Concrete,2018,56.88,13.29,0.36
86.92,Secondary,17120,Concrete,2022,45.67,16.54,1.04
19.68,Primary,51494,Asphalt,2013,73.33,19.42,0.88
1.02,Tertiary,3363,Asphalt,2019,84.66,19.68,0.83
43.06,Secondary,17887,Asphalt,2017,88.73,19.23,0.79
28.54,Tertiary,2849,Asphalt,2003,86.96,19.24,1.01
41.71,Secondary,8745,Asphalt,2012,81.72,18.08,0.73
41.9,Tertiary,1922,Asphalt,2019,80.57,17.75,0.78
11.87,Tertiary,1868,Asphalt,2019,77.69,18.29,1.12
26.39,Secondary,14348,Asphalt,2007,82.05,20.82,0.98
71.58,Tertiary,2035,Concrete,2018,61.12,14.46,0.86
51.62,Tertiary,3101,Asphalt,2020,82.66,18.54,0.87
88.83,Secondary,2220,Concrete,2019,50.58,16.56,0.96
94.59,Tertiary,1587,Asphalt,2024,35.17,11.88,0.64
64.8,Primary,45209,Concrete,2023,64,15.82,0.87
80.16,Secondary,8859,Asphalt,2024,51.76,13.42,0.43
35.44,Secondary,33564,Asphalt,2010,77.4,21.03,0.93
10.4,Tertiary,3900,Asphalt,2015,79.65,19.74,0.97
88.87,Tertiary,1871,Concrete,2022,58.65,15.85,0.5
86.82,Primary,25280,Concrete,2023,51,13.89,0.89
31.25,Tertiary,4715,Asphalt,2019,89.79,20.01,1.06
95.65,Tertiary,2117,Concrete,2018,30.78,14.38,1
87.55,Tertiary,2316,Asphalt,2024,43.85,13.5,1.01
14.94,Tertiary,3004,Concrete,2007,74.61,19.8,1.02
22.54,Primary,56730,Asphalt,2017,75.02,20.17,0.77
30.58,Primary,24528,Concrete,2007,84.15,20.03,1.21
16.28,Tertiary,7130,Asphalt,2021,84.42,18.85,0.93
31.19,Secondary,12034,Asphalt,2020,76.05,19.81,0.99
77.66,Tertiary,1107,Concrete,2018,52.97,12.92,0.77
100,Tertiary,2132,Concrete,2021,44.83,10.44,0.9
73.25,Tertiary,602,Concrete,2019,46.57,16.09,0.82
0,Tertiary,3439,Asphalt,2020,76.38,18.71,0.98
23.61,Secondary,13451,Asphalt,2020,89.62,20.17,0.84
34.57,Tertiary,5446,Asphalt,2014,75.57,21.01,1.1
3.64,Tertiary,3411,Asphalt,2020,71.44,17.48,0.75
77.36,Tertiary,1486,Concrete,2023,59.48,16.26,0.5
23.7,Tertiary,3863,Asphalt,2014,75.06,18.11,0.61
61.74,Tertiary,2656,Concrete,2017,48.4,15.14,0.45
17.95,Primary,39128,Asphalt,2017,87.77,18.09,0.96
0.35,Tertiary,3150,Asphalt,2020,63.97,19.53,1.12
91.74,Primary,32134,Concrete,2019,35.44,17.04,0.91
100,Tertiary,2527,Concrete,2021,68.53,15.99,0.84
68.47,Primary,27943,Concrete,2022,59.79,16.03,1.06
54.62,Secondary,8488,Asphalt,2020,73.63,18.47,0.74
30.49,Secondary,34172,Concrete,2008,82.67,19.47,0.98
27.63,Primary,36582,Asphalt,2020,78.51,18.88,1.48
76.89,Secondary,9303,Concrete,2018,52.22,10.51,0.77
53.76,Secondary,21694,Concrete,2018,51.1,16.11,0.7
87.86,Secondary,6962,Asphalt,2024,49.23,15.31,0.61
1.67,Primary,23660,Asphalt,2020,59.97,19.18,0.91
7.7,Secondary,19031,Asphalt,2016,74.86,19.78,0.72
29.43,Secondary,8006,Concrete,2013,76.48,18.65,0.98
26.07,Secondary,16145,Asphalt,2020,69.62,19.92,1.17
100,Tertiary,4069,Asphalt,2023,63.81,16.27,0.66
90.24,Secondary,11573,Concrete,2020,47.8,14.06,0.99
14.77,Tertiary,3312,Asphalt,2019,78.05,20.36,1.03
50.82,Secondary,11369,Concrete,2007,83.8,18.92,1.06
32.75,Secondary,15403,Asphalt,2019,80.1,19.36,0.95
67.06,Primary,22223,Concrete,2021,57.62,14.86,0.6
80.14,Secondary,11733,Concrete,2021,42.35,13.6,0.78
67.32,Tertiary,2990,Concrete,2022,63,15.03,0.87
34.86,Tertiary,2976,Asphalt,2019,74.4,18.46,0.85
12.9,Secondary,9726,Asphalt,2019,66.18,18.77,1.05
100,Tertiary,1900,Concrete,2021,36.86,12.54,1.07
45.04,Tertiary,2260,Asphalt,2019,87.54,19.27,0.88
25.6,Secondary,10544,Asphalt,2020,81.09,19.8,0.92
68.89,Tertiary,2371,Concrete,2019,31.35,11,0.97
49.33,Tertiary,5554,Asphalt,2013,86.25,18.67,0.81
29.54,Tertiary,1474,Asphalt,2013,55.86,17.77,0.95
29.74,Primary,6905,Asphalt,2018,85.39,18.37,1.31
31.04,Tertiary,1539,Asphalt,2019,92.11,21.22,1.29
42.57,Secondary,5899,Asphalt,2020,84.21,18.6,0.96
80.83,Secondary,6693,Concrete,2019,45.94,13.39,0.67
87.91,Tertiary,1070,Concrete,2020,59.82,14.98,0.75
59.98,Tertiary,1048,Concrete,2015,41.57,12.03,0.86
60.91,Primary,30869,Concrete,2019,50.79,13.24,0.7
26.24,Tertiary,4604,Asphalt,2019,66.39,19.04,1.01
71.89,Primary,28137,Asphalt,2024,52.49,15.76,0.86
73.27,Tertiary,5475,Concrete,2021,44.72,14,0.6
22.59,Primary,19079,Asphalt,2020,73.31,17.47,1.02
38.07,Tertiary,2364,Asphalt,2021,81.96,20.13,0.5
66.14,Secondary,9427,Asphalt,2024,59.52,15.12,0.6
35.39,Secondary,17775,Asphalt,2020,89.17,21.34,1.16
1.32,Tertiary,1246,Asphalt,2019,67.09,18.9,1.09
66.11,Primary,21539,Concrete,2023,37.52,14.34,0.78
21.68,Secondary,7271,Asphalt,2021,86.73,19.7,0.54
76.28,Secondary,15975,Concrete,2021,41.62,15.7,1.22
10.38,Tertiary,1172,Asphalt,2011,95.13,20.19,1.08
77.74,Secondary,5434,Concrete,2017,32.9,14.03,0.68
11.89,Tertiary,1871,Concrete,2006,84.75,20.02,0.91
87.52,Tertiary,1460,Concrete,2020,49.22,14.08,0.5
8.48,Tertiary,2530,Concrete,2003,79.5,18.95,0.82
46.39,Secondary,9832,Asphalt,2020,67.78,19.61,1.08
38.72,Secondary,9668,Asphalt,2017,75.26,18.9,1.22
92.32,Tertiary,1251,Concrete,2019,31.91,13.97,0.83
71,Secondary,14255,Concrete,2019,34.95,13.8,0.74
77.69,Primary,21394,Concrete,2020,58.05,14.5,1.15
35.99,Primary,23768,Concrete,2011,96.95,21.19,0.92
53.71,Tertiary,2661,Asphalt,2017,71.66,19.67,0.78
82.35,Secondary,5721,Concrete,2018,56.28,13.35,0.8
97.92,Secondary,11396,Concrete,2019,63.43,13.98,1.28
82.03,Secondary,30803,Concrete,2019,37.79,16.07,0.78
73.72,Primary,27942,Asphalt,2024,59.2,15.84,0.58
23.9,Tertiary,1795,Asphalt,2019,98.47,18.44,0.82
81.49,Primary,20525,Concrete,2021,51.86,15.96,0.9
32.69,Tertiary,3739,Asphalt,2016,82.74,18.07,0.52
48.07,Primary,32682,Concrete,2022,64.01,14.29,0.78
35.75,Tertiary,3470,Asphalt,2019,86.05,17.44,0.86
84.07,Tertiary,562,Concrete,2022,37.13,14.27,0.55
86.18,Secondary,9347,Concrete,2020,41.04,13.4,0.64
97.73,Tertiary,2149,Concrete,2021,82.22,15.64,0.59
69.55,Tertiary,2315,Asphalt,2024,54.56,13.11,0.64
7.49,Tertiary,3188,Asphalt,2019,78.77,20.46,0.61
41.63,Tertiary,3318,Asphalt,2002,82.57,18.03,0.75
32.92,Tertiary,4356,Asphalt,2018,68.72,18.36,0.84
74.54,Secondary,19748,Concrete,2021,46.6,14.54,0.46
46.47,Tertiary,3040,Concrete,2012,79.32,17.54,0.88
84.61,Tertiary,5520,Concrete,2021,53.8,14.25,0.32
13.94,Tertiary,2647,Asphalt,2020,75.91,18.71,1.08
75.4,Tertiary,1070,Asphalt,2024,45.65,14.31,0.8
35.37,Tertiary,4245,Concrete,2000,92.19,19.73,1.02
87.98,Secondary,5313,Concrete,2023,53.87,13.54,0.77
18.91,Tertiary,2575,Asphalt,2018,62.46,19.89,0.91
24.9,Primary,69105,Asphalt,2015,80.85,20.77,0.95
24.91,Tertiary,5055,Asphalt,2020,77.19,19.65,0.9
63.81,Tertiary,704,Asphalt,2024,39.08,14.54,1.1
49.84,Tertiary,110,Concrete,2007,75.72,18.11,1.01
92.34,Primary,19869,Concrete,2020,49.35,12.91,1.04
29.01,Tertiary,4080,Asphalt,2020,77.49,17.92,0.92
28.69,Primary,47617,Concrete,2006,75.18,18.5,0.76
13.61,Tertiary,1525,Asphalt,2021,71.3,20.17,1.01
65.91,Tertiary,5696,Concrete,2007,76.59,17.34,0.94
71.57,Tertiary,623,Concrete,2018,63.96,13.46,0.59
29.26,Tertiary,4429,Asphalt,2018,76,19.38,0.71
59.12,Tertiary,3168,Asphalt,2015,92.18,18.63,0.97
77.59,Secondary,11700,Concrete,2020,61.67,16.64,0.62
68.76,Tertiary,7102,Concrete,2020,40.26,12.58,0.7
54.86,Tertiary,4486,Concrete,2008,71.41,19.91,0.42
54.82,Tertiary,2114,Concrete,2008,78.55,20.25,1.01
58.86,Primary,22069,Concrete,2024,35.33,13.64,0.85
66.64,Primary,17408,Concrete,2018,60.4,14.37,0.63
52.1,Tertiary,2534,Asphalt,2024,59.1,14.65,1.08
37.21,Secondary,16675,Asphalt,2018,88.67,19.12,0.85
66.11,Tertiary,1699,Concrete,2020,50.07,13.6,0.55
26.87,Secondary,25093,Asphalt,2019,97.08,19.34,1.04
0.07,Secondary,19190,Asphalt,2020,75.83,19.88,1.22
72.79,Tertiary,1275,Concrete,2018,43.95,14.93,0.59
18.23,Primary,28528,Asphalt,2020,61.95,17.33,1.48
35.41,Tertiary,6426,Asphalt,2020,86.52,20.43,1.15
33.1,Primary,30620,Asphalt,2020,88.83,18.54,0.88
49.31,Tertiary,3350,Asphalt,2020,77.98,19.67,0.95
45.02,Secondary,13234,Asphalt,2016,79.59,19.86,0.79
17.68,Secondary,24100,Asphalt,2020,73.97,20.3,0.98
34.75,Primary,28342,Concrete,2017,43.74,12.44,0.82
100,Secondary,8595,Concrete,2020,50.26,13.27,0.64
40.01,Secondary,11186,Asphalt,2020,93.44,19.03,0.92
36.58,Tertiary,1412,Asphalt,2012,64.56,18.51,0.65
62.47,Tertiary,2277,Asphalt,2025,71.17,12.04,0.73
0,Tertiary,2867,Asphalt,2018,98.78,20.47,1.19
29.57,Secondary,30006,Asphalt,2019,90.81,19.31,1.02
37.17,Secondary,18029,Asphalt,2014,93.7,18.58,1.34
19.07,Tertiary,2435,Asphalt,2019,64.22,19.96,0.9
51.11,Secondary,10439,Asphalt,2016,72.69,18.89,0.81
30.01,Tertiary,2386,Asphalt,2020,78.41,20.86,1.27
18.79,Tertiary,3408,Concrete,2009,75.43,17.93,1.01
28.36,Tertiary,1923,Asphalt,2020,87.54,21.84,1.1
31.06,Tertiary,706,Asphalt,2019,73.67,18.14,1.2
25.65,Tertiary,3112,Asphalt,2021,64.05,19.62,0.82
92.67,Primary,22315,Concrete,2021,43.16,12.12,0.56
28.26,Secondary,14355,Asphalt,2014,83.06,18.94,0.97
87.2,Tertiary,2810,Concrete,2021,50.72,13.36,0.91
97.82,Primary,28131,Concrete,2021,48.3,14.6,0.55
23.76,Secondary,7176,Asphalt,2016,87.71,20.07,1.19
60.09,Tertiary,1219,Concrete,2022,68.67,16.15,0.8
69.15,Secondary,19677,Concrete,2018,52.33,16.56,0.68
90.37,Tertiary,3281,Asphalt,2024,31.71,14.2,0.52
92.15,Primary,17832,Asphalt,2024,24.68,12.06,0.46
20.15,Secondary,7569,Asphalt,2019,88.47,20.01,0.93
48.05,Primary,21845,Asphalt,2025,39.29,13.01,0.51
42.77,Tertiary,4823,Asphalt,2013,82.83,18,0.73
24.81,Secondary,18236,Asphalt,2019,67.81,17.24,1.06
77.31,Tertiary,1041,Concrete,2019,57.28,14.94,0.51
74.61,Secondary,14416,Concrete,2021,33.9,13.11,0.91
24.57,Secondary,2896,Asphalt,2020,97.55,19.06,1.15
34.45,Secondary,11283,Asphalt,2013,75.3,17.82,1.05
95.79,Primary,44793,Concrete,2021,42.13,18.84,0.63
81.21,Secondary,8494,Concrete,2020,41.29,13.89,0.73
47.71,Secondary,8520,Asphalt,2020,67.46,19.24,0.96
51.14,Secondary,11681,Asphalt,2018,86.4,20.06,1.3
66.34,Secondary,9377,Asphalt,2024,58.17,14.07,1.15
81.38,Secondary,10994,Concrete,2016,43.51,10.42,0.61
47.21,Tertiary,2699,Asphalt,2012,77.26,17.79,1.07
6.17,Tertiary,3750,Asphalt,2015,81.66,20.1,0.87
63.23,Secondary,5671,Asphalt,2024,43.54,13.48,0.29
49.16,Tertiary,384,Asphalt,2018,68.45,18.9,0.8
45.98,Tertiary,2974,Asphalt,2020,84.33,18.69,1.09
32,Primary,61293,Asphalt,2020,82.58,19.67,1.25
100,Tertiary,1966,Concrete,2018,66.18,16.76,1.05
80.86,Tertiary,1478,Concrete,2020,61.61,14.7,0.56
15.93,Tertiary,4233,Asphalt,2013,75.44,18.38,0.85
64.86,Primary,32150,Concrete,2023,43.62,12.41,0.67
84.34,Tertiary,1818,Concrete,2021,40.63,12.75,0.76
36.98,Primary,22376,Asphalt,2020,108.4,21.04,0.98
9.74,Tertiary,2750,Asphalt,2019,78.33,16.91,0.88
28.59,Tertiary,6039,Asphalt,2016,63.77,18.26,0.8
10.28,Tertiary,2618,Asphalt,2019,69.49,20.26,1.01
5.14,Tertiary,5203,Asphalt,2019,74.59,18.66,0.81
82.59,Primary,17864,Asphalt,2023,60.43,13.76,0.77
98.15,Secondary,9773,Concrete,2020,45.75,15.04,0.69
73.01,Tertiary,872,Concrete,2017,38.34,12.66,0.78
61.16,Secondary,6282,Concrete,2022,48.26,17.46,1.07
64.04,Tertiary,742,Concrete,2016,29.37,15.26,0.52
21.37,Secondary,7150,Asphalt,2019,91.05,20.83,1.02
74.81,Secondary,16353,Concrete,2021,55.13,12.19,0.67
29.8,Tertiary,1729,Asphalt,2018,81.35,19.2,0.92
72.46,Secondary,9583,Concrete,2021,55.31,14.28,0.97
33.28,Tertiary,1592,Asphalt,2020,95.07,19.13,0.96
62.67,Primary,29890,Concrete,2018,52.66,15.82,0.76
53.04,Primary,18623,Concrete,2018,66.11,14.86,0.98
100,Tertiary,1531,Asphalt,2024,46.66,12.19,0.66
100,Tertiary,2017,Concrete,2020,47.15,13.05,0.82
40.07,Tertiary,981,Asphalt,2020,75.3,19.78,0.77
80.04,Primary,24827,Concrete,2017,52.07,16.74,1.05
61.31,Primary,28256,Concrete,2019,62.16,18.1,1.19
57.57,Secondary,13020,Concrete,2020,55.44,15.42,0.55
51.93,Tertiary,3014,Asphalt,2012,79.79,19.94,0.96
81.35,Tertiary,2415,Concrete,2019,41.33,12.77,0.37
73.49,Secondary,17115,Concrete,2021,61.79,16.78,0.96
46.14,Tertiary,1813,Asphalt,2019,61.44,19.57,0.73
26.13,Secondary,10668,Asphalt,2021,65.93,19.09,1.04
81.43,Primary,22774,Concrete,2020,57.12,15.65,0.68
47.86,Secondary,18108,Concrete,2012,85.57,19.47,0.82
38.91,Tertiary,2828,Concrete,2002,76.94,17.76,0.79
28.44,Tertiary,1241,Asphalt,2021,88.94,19.51,0.95
82.74,Tertiary,1590,Concrete,2017,49.57,13.3,0.7
91.63,Tertiary,2634,Asphalt,2024,39.88,13.78,0.62
19.96,Tertiary,3281,Concrete,2012,91.84,18.76,0.77
0,Tertiary,2651,Asphalt,2020,61.94,16.39,0.86
88.97,Primary,26175,Concrete,2019,54.19,15.95,0.74
80.45,Secondary,7146,Concrete,2017,50.38,12.99,0.88
99.9,Secondary,9535,Concrete,2020,44.62,15.37,0.78
87.16,Primary,12569,Concrete,2019,53.86,13.47,0.62
73.23,Primary,29263,Concrete,2020,42.15,15.03,0.82
70.92,Secondary,9173,Concrete,2023,44.25,13.38,0.79
66.87,Tertiary,1991,Asphalt,2025,37.97,12.43,0.94
0,Secondary,6041,Asphalt,2020,85.98,18.51,0.96
10.81,Secondary,5088,Asphalt,2013,77.82,19.49,0.85
34.08,Secondary,11022,Asphalt,2018,53.3,19.79,1.29
66.95,Primary,30730,Concrete,2021,54.4,15.18,0.61
100,Tertiary,518,Concrete,2019,29.74,14.54,0.92
93.43,Primary,36111,Concrete,2020,32.18,15.44,1.03
21.73,Tertiary,1149,Concrete,2002,76.37,18.7,0.89
51.06,Tertiary,3396,Asphalt,2019,84.2,18.77,1.16
23.59,Secondary,18459,Asphalt,2018,86.73,21.1,1.25
10.24,Tertiary,3204,Asphalt,2018,75.68,19.25,0.87
30.81,Secondary,28039,Asphalt,2011,101.13,18.36,1.13
83.83,Tertiary,2528,Concrete,2020,46.24,13.74,0.58
91,Secondary,8215,Concrete,2019,25.59,9.78,0.78
11.34,Tertiary,2554,Asphalt,2019,64.83,18.68,0.4
75.39,Tertiary,833,Concrete,2021,65.26,12.7,0.74
